Date Stock Sentiment
Apr_03_2018 $nvcn 12.716849557571678
Apr_03_2018 $aapl -1.7532895521891882
Apr_03_2018 $goog 3.2001664911729257
Apr_03_2018 $intc 2.426385067105035
Apr_03_2018 $amzn -5.694400305951268
Apr_03_2018 $msft -5.124358672103652
Apr_03_2018 $cmcsa 2.482474857363017
Apr_03_2018 $pfe 3.268644449529993
Apr_03_2018 $mu 0.6446276281666745
Apr_03_2018 $nflx -4.646423405444499
Apr_03_2018 $nok 2.3874992667580304
Apr_03_2018 $amd -6.080545120250546
Apr_03_2018 $sgmo 5.384838713916604
Apr_03_2018 $spy -0.7343247558873027
Apr_03_2018 $c 1.5032808921367669
Apr_03_2018 $gs -3.5728974348876577
Apr_03_2018 $wfc 0
Apr_03_2018 $mcd 0
Apr_03_2018 $goo 0
Apr_03_2018 $bac 4.861705979259526
Apr_03_2018 $x 1.9148794886119487
Apr_03_2018 $t 0
Apr_03_2018 $ibm 2.091449803696274
Apr_03_2018 $nvda -3.827093563694916
Apr_03_2018 $adbe 4.100460181779213
Apr_03_2018 $qqq 4.027980173326389
Apr_03_2018 $jpm 1.5032808921367669
Apr_03_2018 $ttwo 0
Apr_03_2018 $sbgi 4.187368247002378
Apr_03_2018 $tsla -7.677655339163484
Apr_03_2018 $10 12.103491681373637
Apr_03_2018 $snap 0.10464296709153587
Apr_03_2018 $twmjf 0
Apr_03_2018 $cost 0
Apr_03_2018 $nwurf 0
Apr_03_2018 $amtd 0
Apr_03_2018 $etfc 0
Apr_03_2018 $fdx 5.428345731962974
Apr_03_2018 $88 7.438329820535596
Apr_03_2018 $ndx 2.7896726444970508
Apr_03_2018 $vix 7.006294921487789
Apr_03_2018 $0 -4.322852603115661
Apr_03_2018 $apc -1.8483666387560738
Apr_03_2018 $gern 2.226711870793324
Apr_03_2018 $nktr 0
Apr_03_2018 $sppi 0
Apr_03_2018 $crsp -1.6927201225835584
Apr_03_2018 $atra 0
Apr_03_2018 $exel 0
Apr_03_2018 $fusz -2.841302253980942
Apr_03_2018 $smh 0
Apr_03_2018 $db 0
Apr_03_2018 $bp 3.100460181779213
Apr_03_2018 $dirv 6.274293830432136
Apr_03_2018 $fb 2.5032014857144165
Apr_03_2018 $jnj 0.894009304311786
Apr_03_2018 $googl -0.14211331118286719
Apr_03_2018 $wmt 0.45343671292580473
Apr_03_2018 $cv 0
Apr_03_2018 $sach 5.520791980727569
Apr_03_2018 $yuma 5.520791980727569
Apr_03_2018 $chci 5.520791980727569
Apr_03_2018 $strm 5.520791980727569
Apr_03_2018 $ras 5.520791980727569
Apr_03_2018 $mnga 4.935829480006413
Apr_03_2018 $lbcc 5.520791980727569
Apr_03_2018 $teum 4.520791980727569
Apr_03_2018 $zn 5.520791980727569
Apr_03_2018 $sdrl 0
Apr_03_2018 $wpg 0
Apr_03_2018 $srne 0
Apr_03_2018 $ges 3.5970275665546545
Apr_03_2018 $mpw 0
Apr_03_2018 $aap 0
Apr_03_2018 $sgyp 0
Apr_03_2018 $teva 0
Apr_03_2018 $baba 3.1345490723584937
Apr_03_2018 $ge 4.342460349864453
Apr_03_2018 $qcom 1.5690131903850582
Apr_03_2018 $chk 0
Apr_03_2018 $orcl 4.688925734830443
Apr_03_2018 $twtr 0.3424603498644524
Apr_03_2018 $spx 0.9847741553273033
Apr_03_2018 $mj 0
Apr_03_2018 $roku 0
Apr_03_2018 $dia 4.428345731962974
Apr_03_2018 $xlf 4.10077107393447
Apr_03_2018 $xlk 7.701456650536812
Apr_03_2018 $nbdr 4.991201772257088
Apr_03_2018 $rcgr 5.999286782932266
Apr_03_2018 $bvrk 7.473217971264678
Apr_03_2018 $dsgt 6.437521361539439
Apr_03_2018 $frfs 6.266061613487671
Apr_03_2018 $sode 0
Apr_03_2018 $ottv 0
Apr_03_2018 $amlf 0
Apr_03_2018 $9 2.70136422636939
Apr_03_2018 $hum 0
Apr_03_2018 $ddaif 0
Apr_03_2018 $fcau 0
Apr_03_2018 $f 0
Apr_03_2018 $gm 0
Apr_03_2018 $hmc 0
Apr_03_2018 $nsany 0
Apr_03_2018 $tm 0
Apr_03_2018 $vlkay 0
Apr_03_2018 $mnov 0
Apr_03_2018 $btsc 0
Apr_03_2018 $wpx 0
Apr_03_2018 $bcei 0
Apr_03_2018 $pdce 0
Apr_03_2018 $qep 0
Apr_03_2018 $indu 0
Apr_03_2018 $ccmp 0
Apr_03_2018 $iwm 2.8671536724418205
Apr_03_2018 $tvix 4.63785686200269
Apr_03_2018 $uvxy 4.290842208213039
Apr_03_2018 $vxx 3.2908422082130397
Apr_03_2018 $xiv 0
Apr_03_2018 $vvix 0
Apr_03_2018 $svxy 0
Apr_03_2018 $sq 0.057508036594665565
Apr_03_2018 $swks -1.2344652536370226
Apr_03_2018 $1 -2.2852786376576795
Apr_03_2018 $akam 3.30752094935967
Apr_03_2018 $nq 3.70136422636939
Apr_03_2018 $vz 2.70136422636939
Apr_03_2018 $vale 0
Apr_03_2018 $abx 4.478971805032942
Apr_03_2018 $clf 0
Apr_03_2018 $hal 0
Apr_03_2018 $xom -0.7369655941662057
Apr_03_2018 $slb 4.186791053539632
Apr_03_2018 $fcx 0
Apr_03_2018 $mro 0
Apr_03_2018 $nbr 0
Apr_03_2018 $btc 1.613901385119051
Apr_03_2018 $czr 0
Apr_03_2018 $spot 2.2735614850259545
Apr_03_2018 $andi 0
Apr_03_2018 $ldsr 0
Apr_03_2018 $800 0
Apr_03_2018 $shop 4.470356199162314
Apr_03_2018 $grow 0
Apr_03_2018 $xrp 8.91730162556854
Apr_03_2018 $eth 5.998438388293945
Apr_03_2018 $ostk 0
Apr_03_2018 $hig 0
Apr_03_2018 $alks 0
Apr_03_2018 $cldr 7.303292969822365
Apr_03_2018 $feye 0
Apr_03_2018 $ctxs 0
Apr_03_2018 $ual 0
Apr_03_2018 $ren 0
Apr_03_2018 $ba 0
Apr_03_2018 $abb 0
Apr_03_2018 $dwdp 0
Apr_03_2018 $bpl 0
Apr_03_2018 $tts 0
Apr_03_2018 $w 0
Apr_03_2018 $adsk 0
Apr_03_2018 $lrcx 0
Apr_03_2018 $aker 0
Apr_03_2018 $orex -7.385862400641461
Apr_03_2018 $aeon 0
Apr_03_2018 $csco 1.657987039406657
Apr_03_2018 $audvf 0
Apr_03_2018 $bccmy 0
Apr_03_2018 $bmwyy 0
Apr_03_2018 $byddf 0
Apr_03_2018 $byddy 0
Apr_03_2018 $aal 0
Apr_03_2018 $lb 0
Apr_03_2018 $flcr -1.5435120572276528
Apr_03_2018 $athn 0
Apr_03_2018 $atos 0
Apr_03_2018 $sls -3.2453227768591533
Apr_03_2018 $heb -8.608254821977908
Apr_03_2018 $yten -8.608254821977908
Apr_03_2018 $sorl -8.608254821977908
Apr_03_2018 $sedg 1.7084286111445222
Apr_03_2018 $67 0
Apr_03_2018 $2 0
Apr_03_2018 $a 0
Apr_03_2018 $aa 0
Apr_03_2018 $dis 3.16531132612918
Apr_03_2018 $unh 0
Apr_03_2018 $hsy 0
Apr_03_2018 $crm 0
Apr_03_2018 $oil 0
Apr_03_2018 $eurusd 0
Apr_03_2018 $psx 0
Apr_03_2018 $mon 3.923756647705838
Apr_03_2018 $bud 0
Apr_03_2018 $utx 0
