,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
0,0,2002-11-07,1.21,1.221429,1.129286,1.142857,1.012864,84044800
1,1,2002-11-08,1.143571,1.157143,1.108571,1.131429,1.002735,47516000
2,2,2002-11-11,1.124286,1.135,1.08,1.082857,0.959688,38243800
3,3,2002-11-12,1.094286,1.145714,1.091429,1.117143,0.990074,55948200
4,4,2002-11-13,1.107143,1.147857,1.091429,1.113571,0.986909,57934800
5,5,2002-11-14,1.135714,1.172143,1.127143,1.1642860000000002,1.031855,35428400
6,6,2002-11-15,1.159286,1.16,1.125714,1.139286,1.009699,40248600
7,7,2002-11-18,1.1564290000000002,1.157143,1.108571,1.117857,0.990707,41144600
8,8,2002-11-19,1.110714,1.125,1.072143,1.090714,0.966652,52738000
9,9,2002-11-20,1.092857,1.121429,1.089286,1.109286,0.983111,52185000
10,10,2002-11-21,1.135714,1.1742860000000002,1.125,1.167857,1.03502,104620600
11,11,2002-11-22,1.149286,1.1642860000000002,1.135714,1.143571,1.013497,56964600
12,12,2002-11-25,1.145,1.152857,1.122143,1.140714,1.010965,49856800
13,13,2002-11-26,1.132143,1.135714,1.090714,1.100714,0.975514,60065600
14,14,2002-11-27,1.114286,1.132857,1.103571,1.122857,0.995138,71699600
15,15,2002-11-29,1.127857,1.134286,1.100714,1.107143,0.981212,35858200
16,16,2002-12-02,1.135714,1.15,1.072143,1.084286,0.960955,99685600
17,17,2002-12-03,1.0857139999999998,1.095714,1.078571,1.082857,0.959688,56967400
18,18,2002-12-04,1.084286,1.085,1.035714,1.069286,0.947661,81439400
19,19,2002-12-05,1.0735709999999998,1.077143,1.037857,1.045,0.926137,60849600
20,20,2002-12-06,1.046429,1.085,1.037143,1.067857,0.946394,61339600
21,21,2002-12-09,1.067143,1.067857,1.047857,1.0535709999999998,0.933734,59021200
22,22,2002-12-10,1.0535709999999998,1.103571,1.052143,1.091429,0.967285,77152600
23,23,2002-12-11,1.092857,1.106429,1.077143,1.106429,0.980579,63375200
24,24,2002-12-12,1.107857,1.110714,1.072143,1.085,0.961588,37335200
25,25,2002-12-13,1.0814290000000002,1.082143,1.046429,1.056429,0.936266,41195000
26,26,2002-12-16,1.057857,1.078571,1.0435709999999998,1.060714,0.940064,62906200
27,27,2002-12-17,1.060714,1.085,1.047143,1.077143,0.954624,55665400
28,28,2002-12-18,1.057143,1.0614290000000002,1.035714,1.040714,0.922339,37675400
29,29,2002-12-19,1.037857,1.065714,1.007143,1.014286,0.898917,86879800
30,30,2002-12-20,1.020714,1.04,0.984286,1.01,0.8951180000000001,79524200
31,31,2002-12-23,1.011429,1.0392860000000002,1.008571,1.035,0.917275,31456600
32,32,2002-12-24,1.0314290000000002,1.033571,1.021429,1.025714,0.909045,9835000
33,33,2002-12-26,1.03,1.057857,1.02,1.028571,0.911578,21355600
34,34,2002-12-27,1.022143,1.027143,1.000714,1.004286,0.8900540000000001,20008800
35,35,2002-12-30,1.005714,1.010714,0.988571,1.005,0.8906870000000001,38760400
36,36,2002-12-31,1.0,1.025714,0.996429,1.023571,0.907146,50181600
37,37,2003-01-02,1.025714,1.065714,1.025,1.057143,0.936899,45357200
38,38,2003-01-03,1.057143,1.066429,1.042143,1.064286,0.943229,36863400
39,39,2003-01-06,1.0735709999999998,1.098571,1.062857,1.064286,0.943229,97633200
40,40,2003-01-07,1.056429,1.0714290000000002,1.033571,1.060714,0.940064,85586200
41,41,2003-01-08,1.0414290000000002,1.050714,1.0314290000000002,1.0392860000000002,0.921073,57411200
42,42,2003-01-09,1.044286,1.065714,1.035714,1.048571,0.929303,53813200
43,43,2003-01-10,1.0414290000000002,1.058571,1.035,1.0514290000000002,0.931835,43775200
44,44,2003-01-13,1.064286,1.064286,1.025714,1.045,0.926137,44735600
45,45,2003-01-14,1.0492860000000002,1.058571,1.035,1.0435709999999998,0.924871,46715200
46,46,2003-01-15,1.042143,1.05,1.018571,1.030714,0.913477,92782200
47,47,2003-01-16,1.015,1.054286,1.015,1.044286,0.925504,139767600
48,48,2003-01-17,1.04,1.04,1.005714,1.007143,0.8925860000000001,66690400
49,49,2003-01-21,1.015,1.029286,1.0,1.001429,0.8875219999999999,63364000
50,50,2003-01-22,0.998571,1.010714,0.985714,0.991429,0.878659,53785200
51,51,2003-01-23,1.003571,1.025714,0.996429,1.012143,0.897018,57064000
52,52,2003-01-24,1.017143,1.017143,0.968571,0.985714,0.8735950000000001,76367200
53,53,2003-01-27,0.977143,1.035714,0.975,1.009286,0.8944850000000001,97851600
54,54,2003-01-28,1.017143,1.0492860000000002,1.011429,1.0414290000000002,0.922972,71563800
55,55,2003-01-29,1.0392860000000002,1.078571,1.021429,1.066429,0.945129,93261000
56,56,2003-01-30,1.07,1.076429,1.020714,1.022857,0.906513,101764600
